y_coord,u_fdm,u_psi_p,u_psi_omega,x_coord,v_fdm,v_psi_p,v_psi_omega
1.0,1.0,0.999977707862854,0.999977707862854,1.0,0.0,0.0,0.0
0.9766,0.6068671362282176,0.6532872006177903,0.6661497017145157,0.9688,-0.20202796051210187,-0.19079884281754514,-0.19236079162955305
0.9688,0.520326052693665,0.5615568965196607,0.5994283854484557,0.9609,-0.26362994570111914,-0.2526456006459896,-0.2532828733555976
0.9609,0.45713816783135997,0.4898273512572046,0.5503432126939294,0.9531,-0.32196207977685987,-0.31115151701271593,-0.31134759298116027
0.9531,0.41511252920290503,0.43875394028723197,0.5175123235791919,0.9453,-0.3742416046816931,-0.3631192274942995,-0.36284699865579606
0.8516,0.30132707448666846,0.29596193048357966,0.31535321689844137,0.9063,-0.4811574494353902,-0.471780193066597,-0.47282632282227277
0.7344,0.1691362738759934,0.14606294188499463,0.12534122298359884,0.8594,-0.3804242023823107,-0.37441644124686735,-0.3844576360315086
0.6172,0.04624431015180974,0.030448768723010965,0.006524904686212491,0.8047,-0.2814009422177224,-0.2760810171425342,-0.2866285259291529
0.5,-0.06660995153592864,-0.06356440857052803,-0.07445511966943741,0.5,0.028212013252381513,0.031413936987519264,0.030837002210319042
0.4531,-0.10982408870886942,-0.10570989658460019,-0.11529298343211411,0.2344,0.29645766449499544,0.2929282282829284,0.29832364294528957
0.2813,-0.2713840637240412,-0.2665450416892767,-0.2710678051769733,0.2266,0.3029742749544988,0.2987717884719372,0.30461983841657636
0.1719,-0.33775709653660857,-0.3315086555927992,-0.33266442714482547,0.1563,0.3248131561824312,0.3153952820181847,0.3229691948905587
0.1016,-0.2272097367601715,-0.22009882522225377,-0.22035713214278219,0.0938,0.27634853468527126,0.26434214068949224,0.26821965091526506
0.0703,-0.15780328752195616,-0.15115660501495004,-0.15043341203480962,0.0781,0.25609449544171625,0.24207713738679884,0.245757865255326
0.0625,-0.14082889864128734,-0.13410754641517997,-0.13290810864418745,0.0703,0.244715808239078,0.2302484873265028,0.23308282844722272
0.0547,-0.12409354798485024,-0.11704930965192616,-0.11544235151149332,0.0625,0.2320985218581208,0.2175900968722999,0.21907702647149563
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
